z_levels	P_levels	kzz_levels
0.0	17064096.19619	718355.5370394875
13203.690309623142	12054241.70309	718355.5370394875
26407.3806192617	8515232.29627	718355.5370394875
39611.070928911475	6015242.00737	718355.5370394875
52814.761238548504	4249224.81834	718355.5370394875
66018.45154815301	3001693.2876	718355.5370394875
79222.14185779341	2120425.013505	718355.5370394875
92425.83216742559	1497888.62722	718355.5370394875
105629.52247708025	1058122.935385	718355.5370394875
118833.21278697246	747468.220290002	718355.5370394875
132036.9030967564	528018.741170002	718355.5370394875
145240.59340653458	372997.518100002	718355.5370394875
158444.28371684896	263489.034875002	718355.5370394875
171647.97402744886	186131.188895002	718355.5370394875
184851.66433895583	131484.862340002	718355.5370394875
198055.3546511295	92882.1715850015	739888.8785157857
211259.04496291344	65612.8594950015	850244.5513444755
224462.73527496879	46349.5551150015	977059.9587105574
237666.42558840866	32741.7715950015	1122790.0977663775
250870.11590307544	23129.1024150015	1290256.1326146536
264073.80622224347	16338.6204350015	1482700.0087909708
277277.49655354	11541.7586400015	1703847.2135718632
290481.18688932364	8153.209325001519	1957978.896689303
303684.87721837626	5759.50549500152	2250014.7484305296
316888.56753654464	4068.57008500152	2585608.239258802
330092.25786119705	2874.07704500152	2971256.0648958944
343295.94821036264	2030.2756700015202	3414423.914424888
356499.6386197316	1434.20626000152	3923690.998067891
369703.32906363637	1013.13709500152	4508916.127513248
382907.0193679645	715.68979000152	5181428.564349779
396110.7094760973	505.57015500152	5954247.351858867
409314.399347866	357.13962500152	6842333.344671843
422518.08915253327	252.28687000152	7862878.849316601
435721.77879518346	178.21787500152	9035640.413764143
448925.46798455797	125.89482500152	10383321.28241984
462129.15634619293	88.93332000151969	11932010.900973931
475332.84227302385	62.8233600015197	13711689.797374763
488536.52474171907	44.379035001519696	15756810.13150734
501740.20563923614	31.349785001519695	18106963.115560465
514943.8868511116	22.1457950015197	20807645.177996784
528147.5592432864	15.6440100015197	23911136.002427723
541351.2122646964	11.0510900015197	27477511.435057867
554554.8601534854	7.80660500151968	31575814.45667924
567758.5219992077	5.51466500151968	36285389.50763331
580962.1869980358	3.8956150015196807	41697405.37456662
594165.80703926	2.75190500151968	47916608.186756104
607369.344212495	1.9439800015196798	55063362.24436228
620572.7903011477	1.37325500151968	63275992.78388733
633776.1102144183	0.9700900015196787	72713430.13550428
646979.2964669662	0.685290001519679	83558317.27838232
660182.2371681858	0.48410500151967906	96020423.21190739
673384.9752896102	0.341985001519679	110340924.85391672
686587.3279127062	0.24159000151967897	126796673.78965239
699789.1260500296	0.170670001519679	145705708.38831168
712990.5884411229	0.120570001519679	167434032.54332268
726190.6247302266	0.08518000151967947	192399698.0970579
739389.2462264207	0.06018000151967946	221084637.5279305
752585.5473651467	0.04252000151967946	254040018.13901585
765778.5348019897	0.03004500151967947	291897618.34394807
778971.6240595472	0.02123000151967947	335397200.6676122
