z_centers	P_centers
6031.075013248972	14559168.94964
19234.765322878487	10284736.999680001
32438.45563252169	7265237.151819999
45642.14594216619	5132233.412854999
58845.83625178976	3625459.0529699996
72049.52656140912	2561059.1505525
85253.21687104613	1809156.8203625001
98456.9071806876	1278005.7813025
111660.5974904406	902795.577837501
124864.28780028802	637743.480730002
138067.97811006955	450508.1296350021
151271.6684200697	318243.276487502
164475.3587305023	224810.11188500197
177679.0490414777	158808.025617502
190882.73935326067	112183.51696250176
204086.42966527297	79247.51554000149
217290.11997716926	55981.2073050015
230493.81028979778	39545.6633550015
243697.50060374558	27935.4370050015
256901.19092027578	19733.8614250015
270104.88124446466	13940.189537501501
283308.5715776187	9847.48398250151
296512.26191061595	6956.357410001519
309715.9522351627	4914.03779000152
322919.6425560153	3471.3235650015204
336123.33289081557	2452.17635750152
349327.0232649038	1732.2409650015202
362530.71368856967	1223.67167750152
375734.4040746934	864.41344250152
388938.0942978016	610.62997250152
402141.7843080858	431.35489000152
415345.47415207623	304.71324750151996
428549.1638896726	215.25237250152
441752.8533446783	152.05635000152
454956.54219139	107.41407250151985
468160.2295450788	75.8783400015197
481363.9140403305	53.6011975015197
494567.59585859836	37.864410001519694
507771.2768862517	26.747790001519697
520974.9544469975	18.894902501519702
534178.6188201713	13.347550001519698
547382.2697168072	9.428847501519689
560585.9233834101	6.66063500151968
573789.5865344375	4.7051400015196805
586993.2329219622	3.3237600015196804
600196.8186579148	2.34794250151968
613400.3181243638	1.65861750151968
626603.7119794112	1.1716725015196794
639806.9765602131	0.8276900015196788
653010.0611598543	0.584697501519679
666212.9179971572	0.41304500151967904
679415.4965293866	0.291787501519679
692617.6196039399	0.20613000151967897
705819.2787465572	0.145620001519679
719020.1507413845	0.10287500151967924
732219.6013032687	0.07268000151967946
745417.262138951	0.05135000151967946
758612.191299042	0.03628250151967947
771805.2208939637	0.025637501519679473
