elem_name	ibin	pctop	pcbot	ftopp	fbotp
"TiO2 Core (Mg2SiO4)"	31	0.0	0.0	0.0	0.0
"Pure TiO2"	32	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	32	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	32	0.0	0.0	0.0	0.0
"Pure TiO2"	33	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	33	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	33	0.0	0.0	0.0	0.0
"Pure TiO2"	34	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	34	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	34	0.0	0.0	0.0	0.0
"Pure TiO2"	35	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	35	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	35	0.0	0.0	0.0	0.0
"Pure TiO2"	36	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	36	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	36	0.0	0.0	0.0	0.0
"Pure TiO2"	37	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	37	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	37	0.0	0.0	0.0	0.0
"Pure TiO2"	38	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	38	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	38	0.0	0.0	0.0	0.0
"Pure TiO2"	39	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	39	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	39	0.0	0.0	0.0	0.0
"Pure TiO2"	40	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	40	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	40	0.0	0.0	0.0	0.0
"Pure TiO2"	41	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	41	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	41	0.0	0.0	0.0	0.0
"Pure TiO2"	42	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	42	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	42	0.0	0.0	0.0	0.0
"Pure TiO2"	43	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	43	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	43	0.0	0.0	0.0	0.0
"Pure TiO2"	44	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	44	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	44	0.0	0.0	0.0	0.0
